nom_estab|raz_social|codigo_act|nombre_act|per_ocu|tipo_vial|nom_vial|tipo_v_e_1|nom_v_e_1|tipo_v_e_2|nom_v_e_2|tipo_v_e_3|nom_v_e_3|numero_ext|letra_ext|edificio|edificio_e|numero_int|letra_int|tipo_asent|nomb_asent|tipocencom|nom_cencom|num_local|cod_postal|cve_ent|entidad|cve_mun|municipio|cve_loc|localidad|ageb|manzana|telefono|correoelec|www|tipounieco|latitud|longitud|fecha_alta
HOTEL BARCELONA|HOTEL BARCELONA SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CALLE|LEÓN CAVALLO|CALLE|JUAN SEBASTIÁN BACH|CALLE|NINGUNO|PEATONAL|3 NORTE (INGENIERO ALFREDO ROBLES DOMÍNGUEZ)|275||||275||COLONIA|VALLEJO||||07870|09|CIUDAD DE MÉXICO|005|Gustavo A. Madero|0001|Gustavo A. Madero|1754|027||HOTELBARCELONASADECV@HOTMIL.COM||Fijo|19.4706702100000000|-99.136127970000000|2010-07
HOTEL BALMIS||721111|Hoteles con otros servicios integrados|0 a 5 personas|EJE VIAL|2-A SUR (DOCTOR BALMIS)|EJE VIAL|CENTRAL (LAZARO CARDENAS)|CALLE|DOCTOR BARRAGAN|CALLE|DOCTOR SALVADOR ACEVES|21||||||COLONIA|DOCTORES||||06720|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|113A|025||||Fijo|19.4143636900000000|-99.144530820000000|2010-07
HOTEL BAJIO|COSTELA SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CALLE|TONALÁ|CALLE|TEHUANTEPEC|CALLE|BAJÍO|CALLE|LINARES|357||||0||COLONIA|ROMA SUR||||06760|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1464|012||||Fijo|19.4048033400000000|-99.159380800000000|2010-07
HOTEL BENIDORM|HOTEL COSTA BRAVA  SA|721111|Hoteles con otros servicios integrados|51 a 100 personas|CALLE|FRONTERA|EJE VIAL|2-A SUR (SAN LUIS POTOSÍ)|EJE VIAL|1 PONIENTE (AVENIDA CUAUHTÉMOC)|CALLE|CHIAPAS|217||||0||COLONIA|ROMA NORTE||||06700|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1110|013||CONTABILIDAD@BENIDOM.COM.MX||Fijo|19.4144632000000000|-99.154781530000000|2010-07
HOTEL BERNAL DIAZ||721111|Hoteles con otros servicios integrados|0 a 5 personas|CALLE|BERNAL DÍAZ|CALLE|HÉROES FERROCARRILEROS|CALLE|OROZCO Y BERRA|CALLE|FRAY BERNARDINO DE SAHAGÚN|19||||0||COLONIA|BUENAVISTA||||06350|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|049A|018||||Fijo|19.4402355500000000|-99.154327330000000|2010-07
HOTEL CANADIAN RESORTS|ADMINISTRADORA Y COMERCIALIZADORA TURISTICA SALINA CRUZ SA DE CV|721111|Hoteles con otros servicios integrados|6 a 10 personas|CALLE|RUBÉN MELCHOR OCAMPO|CALLE|MARTÍN LUIS GUZMÁN|CALLE|GREGORIO LÓPEZ Y FUENTES|CALLE|FRANCISCO FERNÁNDEZ DEL CASTILLO|212||||301|C|COLONIA|CUAUHTÉMOC||||06500|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|0331|016||PBENITEZS@HOTMAIL.COM|WWW.SKIPPERCLUB.COM.MX|Fijo|19.3871456600000000|-99.134464140000000|2011-03
HOTEL CASA BLANCA|UNIÓN IMPULSORA DE HOTELES SA DE CV|721111|Hoteles con otros servicios integrados|101 a 250 personas|CALLE|JOSÉ MARÍA LAFRAGUA|CALLE|MAESTRO ANTONIO CASO|CALLE|AVENIDA DE LA REPÚBLICA|CALLE|IGNACIO RAMÍREZ|7||||0||COLONIA|TABACALERA||||06030|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0729|004||HOTEL@HOTEL-CASABLANCA.COM.MX|WWW.HOTEL-CASABLANCA.COM.MX|Fijo|19.4345269600000000|-99.153476670000000|2010-07
HOTEL CATEDRAL|HOTEL CATEDRAL SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CALLE|DONCELES|CALLE|REPÚBLICA DE BRASIL|CALLE|REPÚBLICA DE ARGENTINA|CALLE|REPÚBLICA DE GUATEMALA|95||||0|SN|COLONIA|CENTRO||||06020|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0752|003||RESERVACIONES@HOTELCATEDRAL.COM|WWW.HOTELCATEDRAL.COM|Fijo|19.4358270700000000|-99.133112420000000|2010-07
HOTEL CENTURY ZONA ROSA|INMOBILIARIA JEVI SA DE CV|721111|Hoteles con otros servicios integrados|51 a 100 personas|CALLE|LIVERPOOL|CALLE|AMBERES|EJE VIAL|2 PONIENTE (FLORENCIA)|PEATONAL|2 PONIENTE (FLORENCIA)|152||||0||COLONIA|JUÁREZ||||06600|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|095A|005||||Fijo|19.4238755000000000|-99.164739830000000|2010-07
HOTEL CONDESA|PANA  SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CALZADA|CALZADA DE TLALPAN|CALLE|EMPERADORES|EJE VIAL|7-A SUR  GENERAL EMILIANO ZAPATA|CALLE|FRANCISCO MÁRQUEZ|911||||||COLONIA|NIÑOS HÉROES DE CHAPULTEPEC||||03430|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|0308|022||HOTEL.CONDESA@LIVE.COM.MX||Fijo|19.3869303100000000|-99.139322090000000|2010-07
HOTEL CONDESA|ADRIANA Y SUS ANGELES SA DE CV|721111|Hoteles con otros servicios integrados|0 a 5 personas|EJE VIAL|4 SUR (BENJAMIN FRANKLIN)|CALLE|SULTEPEC|CALLE|OMETUSCO|EJE VIAL|3 SUR (AVENIDA BAJA CALIFORNIA)|185||||||COLONIA|HIPOROMO||||06100|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1426|003||CONDESA185@GMAIL.COM||Fijo|19.4046897400000000|-99.174513060000000|2019-11
HOTEL COSTA AZUL|HOTELERA COSTA AZUL SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CALLE|CALLEJÓN SAN SALVADOR EL VERDE|AVENIDA|CHIMALPOPOCA|CALLE|FRAY SERVANDO TERESA DE MIER|CALLE|ISABEL LA CATÓLICA|3||||||COLONIA|CENTRO||||06010|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1055|013||||Fijo|19.4237433200000000|-99.137067650000000|2010-07
HOTEL CORONA REAL|PONTE SA DE CV|721111|Hoteles con otros servicios integrados|51 a 100 personas|EJE VIAL|7 SUR (EXTREMADURA)|CIRCUITO|INTERIOR (AVENIDA PATRIOTISMO)|CALLE|POUSSIN|CALLE|DONATELLO|192||||0||COLONIA|INSURGENTES MIXCOAC||||03920|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|0702|020||HOTEL.CORONA@LIVE.COM.MX||Fijo|19.3754280300000000|-99.186033770000000|2010-07
HOTEL CORINTO|HOTELERA CORINTO SA DE CV|721111|Hoteles con otros servicios integrados|31 a 50 personas|CALLE|IGNACIO L. VALLARTA|CALLE|PRIVADA VALLARTA|CALLE|MAESTRO ANTONIO CASO|CALLE|IGNACIO RAMÍREZ|24||||0|SN|COLONIA|TABACALERA||||06030|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|070A|010||GERENCIA@CORINTO.COM.MX||Fijo|19.4343088300000000|-99.155645370000000|2010-07
KRYSTAL GRAND REFORMA UNO|QUIROOCAN SA DE CV|721111|Hoteles con otros servicios integrados|101 a 250 personas|AVENIDA|PASEO DE LA REFORMA|AVENIDA|JOSÉ MARÍA LAFRAGUA|CALLE|CALLE DE LA REPÚBLICA|CALLE|JOSÉ MARÍA LAFRAGUA|1||||||COLONIA|TABACALERA|EDIFICIO COMERCIAL Y DE SERVIC|HOTEL GRAND KRYSTAL REFORMA UNO|1|06030|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0729|006||MAYA.ADM@BARCELO.COM|WWW.BARCELO.COM|Fijo|19.4350001900000000|-99.151084560000000|2010-07
KRYSTAL URBAN AEROPUERTO CIUDAD DE MEXICO|SERVICIOS HOTELEROS METROPOLITANOS SA DE CV|721111|Hoteles con otros servicios integrados|51 a 100 personas|EJE VIAL|AVENIDA JAVIER ROJO GÓMEZ|AVENIDA|CANAL DE TEZONTLE|EJE VIAL|4 SUR (SAN RAFAEL ATLIXCO)|PEATONAL|4 SUR (SAN RAFAEL ATLIXCO)|630||||||COLONIA|LEYES DE REFORMA||||09310|09|CIUDAD DE MÉXICO|007|Iztapalapa|0001|Iztapalapa|4908|024||LBARRETO@KRYSTAL-HOTELS.COM|WWW.KRYSTALHOTELS.COM|Fijo|19.3833231900000000|-99.075899830000000|2014-12
PACIFICA RESORT IXTAPA|TOURS DE GOLF MEXICO SA DE CV|721111|Hoteles con otros servicios integrados|101 a 250 personas|CALZADA|CALZADA DE TLALPAN|CALLE|ACUEDUCTO|CALLE|ACOXPA|CALLE|LA PAZ|3604||||0||COLONIA|SAN LORENZO HUIPULCO||||14370|09|CIUDAD DE MÉXICO|012|Tlalpan|0001|Tlalpan|0445|007||GERMAN.LOPEZ@PACIFICA.COM.MX|WWW.PACIFICA.COM.MX|Fijo|19.2993227700000000|-99.149250700000000|2010-07
MUNDO JOVEN HOSTELS SA DE CV|MUNDO JOVEN HOSTELS SA DE CV|721111|Hoteles con otros servicios integrados|31 a 50 personas|CALLE|REPÚBLICA DE GUATEMALA|CALLE|REPÚBLICA DE BRASIL|CALLE|REPÚBLICA DE ARGENTINA|CALLE|DONCELES|4||||0||COLONIA|CENTRO||||06060|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0752|003||||Fijo|19.4351325000000000|-99.133631120000000|2011-03
PUERTO MORELOS DEVELOPERS|PUERTO MORELOS DEVELOPERS S DE RL DE CV|721111|Hoteles con otros servicios integrados|6 a 10 personas||BALDERAS|CALLE|5|AVENIDA|3|CALLE|5|239|||22|0||COLONIA|CENTRO||||06000|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0860|022|||WWW.PULSOINMOBILIARIO.COM.MX|Fijo|19.4325074700000000|-99.147947300000000|2019-11
MAS SOL|MAS SOL SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|EJE VIAL|2 Oriente (Heroica Escuela Naval Militar)|CALLE|Tepetlapa|CALLE|Virgilio Uribe|ANDADOR|2|874||||0||COLONIA|ALIANZA POPULAR REVOLUCIONARIA||||04980|09|CIUDAD DE MÉXICO|003|Coyoacán|0001|Coyoacán|0906|041||||Fijo|19.3183431800000000|-99.124381580000000|2012-06
LE MERIDIEN MÉXICO CITY|PROMOTORA PASEO DE LA REFORMA S DE RL DE CV|721111|Hoteles con otros servicios integrados|101 a 250 personas|CALLE|IGNACIO RAMÍREZ|CALLE|MAESTRO ANTONIO CASO|AVENIDA|PASEO DE LA REFORMA|CALLE|MAESTRO ANTONIO CASO|69||||0|SN|COLONIA|TABACALERA||||06030|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0729|001||LYA.RIOS@LEMERIDIEN.COM|WWW.LEMERIDIEN.COM|Fijo|19.4334641300000000|-99.154519170000000|2010-07
OFICINA ADMINISTRATIVA|SHEREZADA SA DE CV|721111|Hoteles con otros servicios integrados|0 a 5 personas|CIRCUITO|RIO MIXCOAC|CALLE|GALICIA|CALLE|CATALUÑA|CALLE|ASTURIAS|63||||101||COLONIA|INSURGENTES MIXCOAC||||03920|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|0793|012||||Fijo|19.3694740200000000|-99.182754420000000|2010-07
OFICINA MEXICO|VILLA BEJAR SA DE CV|721111|Hoteles con otros servicios integrados|6 a 10 personas|CALLE|CERRO DE LA ESTRELLA|CALLE|CERRO CAPILLA DE SAN MIGUEL|CALLE|CERRO DEL CHAPULÍN|CALLE|CERRO SAN ANDRÉS|3||||0||COLONIA|CAMPESTRE CHURUBUSCO||||04320|09|CIUDAD DE MÉXICO|003|Coyoacán|0001|Coyoacán|008A|006||LANFA@VILLABEJAR.COM.MX|WWW.VILLABEJAR.COM.MX|Fijo|19.3534363900000000|-99.132102430000000|2010-07
PORTO NOVO HOTEL & SUITES|PROMOTORA TURISTICA BALES SA DE CV|721111|Hoteles con otros servicios integrados|31 a 50 personas|VIADUCTO|PRESIDENTE MIGUEL ALEMÁN|CALLE|5|EJE VIAL|15|CALLE|5|645||||0||COLONIA|PIEDAD NARVARTE||||03000|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|0011|005||PORTONOVO2002@HOTMAIL.COM|WWW.PORTONOVO.COM.MX|Fijo|19.4029753500000000|-99.159286240000000|2010-07
OPTIMA HOTELES DE MÉXICO|OPTIMA HOTELES DE MÉXICO SA DE CV|721111|Hoteles con otros servicios integrados|6 a 10 personas|CALLE|JAIME BALMES|CALLE|JOSÉ LUIS LAGRANGE|AVENIDA|EJÉRCITO NACIONAL MEXICANO|AVENIDA|HOMERO|||TORRE C||11||COLONIA|POLANCO I SECCIÓN||||11510|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|0622|006||||Fijo|19.4372153100000000|-99.209986530000000|2014-12
OSTAR GRUPO HOTELERO|COMPAÑIA DE SERVICIOS OSTAR SA DE CV|721111|Hoteles con otros servicios integrados|101 a 250 personas|AVENIDA|PASEO DE LAS PALMAS|CALLE|MONTES STANOVOI|CALLE|MONTE TABOR|CALLE|SIERRA MOJADA|781||EDIFICIO SIN NOMBRE|19|0|SN|COLONIA|LOMAS DE CHAPULTEPEC III SECCION||||11000|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|095A|001||SALAZARM@OSTAR.COM.MX|WWW.OSTAR.COM.MX|Fijo|19.4252519400000000|-99.164187560000000|2016-10
PARAISO HOTEL GARDEN & SPA|CORPORACION CLINICA INTERNACIONAL S DE RL DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CALLE|PÓLUX|CALLE|NUEVE|CALLE|ALDEBARÁN|CALLE|CASTOR|46||||||COLONIA|PRADOS DE COYOACAN||||04810|09|CIUDAD DE MÉXICO|003|Coyoacán|0001|Coyoacán|086A|007||||Fijo|19.3222163400000000|-99.134893430000000|2019-04
RAMADA VIA VENETO|VANEMO SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|AVENIDA|CALZADA DE TLALPAN|AVENIDA|PIRINEOS|AVENIDA|CALZADA DE TLALPAN|CALLE|ANTILLAS|||||1561||COLONIA|PORTALES||||03300|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|1005|036||||Fijo|19.3606810600000000|-99.143387380000000|2010-07
THE WESTIN SANTA FE MEXICO CITY|HOTEL PARQUE SANTA FÉ SA DE CV|721111|Hoteles con otros servicios integrados|101 a 250 personas|AVENIDA|JAVIER BARROS SIERRA|CALLE|3|CALLE|2|AVENIDA|SANTA FE|540||||0||COLONIA|LOMAS DE SANTA FE||||01219|09|CIUDAD DE MÉXICO|010|Álvaro Obregón|0001|Álvaro Obregón|1542|051|||WWW.MARRIOT.COM|Fijo|19.3640995200000000|-99.260653530000000|2012-06
VELAS RESORTS|PROMOTORA TURISTICA PUNTA BETE S A P I DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|AVENIDA|PASEO DE LA MARINA|CALLE|MATÍAS ROMERO|CALLE|PILARES|CALLE|LÓPEZ COTILLA|401||||585||COLONIA|MARINA VALLARTA||||48354|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|0609|010||CONTADORVV@VELASRESORT.COM|WWW.GRUPOVELAS.COM|Fijo|19.3797156600000000|-99.167292180000000|2014-12
HOTEL PUEBLA|OPERADORA TURISTICA PREMIUN SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CALLE|PUEBLA|CALLE|GUAYMAS|CALLE|MORELIA|CALLE|GUAYMAS|36||||||COLONIA|ROMA NORTE||||06700|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1017|003||HOTELPUEBLA@HOTMAIL.COM||Fijo|19.4237295400000000|-99.155845030000000|2010-07
HOTEL PRESIDENTE INTER-CONTINENTAL CIUDAD DE MÉXICO|INMOBILIARIA HOTELERA EL PRESIDENTE SAN JOSE DEL CABO SAPI DE CV|721111|Hoteles con otros servicios integrados|251 y más personas|AVENIDA|CAMPOS ELÍSEOS|CALLE|JORGE BERNAD SHAW|PERIFERICO|BOULEVARD MANUEL ÁVILA CAMACHO|CALLE|ANDRÉS BELLO|218||||0||COLONIA|POLANCO||||11560|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|0779|003||ERICA_RAMIREZ@GRUPOPRESIDENTE.COM|WWW.PRESIDENTEICMEXICO.COM|Fijo|19.4277827900000000|-99.193560100000000|2010-07
HOTEL PRINCESA|CATACA SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|AVENIDA|TLALPAN|CALLE|LUISA|CALZADA|CALZADA DE TLALPAN|CALLE|LAURA|952||||||COLONIA|NATIVITAS||||03500|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|051A|023||HOTAL.PRINCESA@LIVE.COM.MX||Fijo|19.3839778100000000|-99.139235370000000|2010-07
HOTEL REAL||721111|Hoteles con otros servicios integrados|0 a 5 personas|CALLE|CABAÑA|CALLE|ADOLFO GURRION|CALLE|JUAN CUAMATZIN|CALLE|ROSARIO|76||||0|76|COLONIA|MERCED||||15810|09|CIUDAD DE MÉXICO|017|Venustiano Carranza|0001|Venustiano Carranza|0687|006|5558539709|||Fijo|19.4235823800000000|-99.124510920000000|2010-07
HOTEL QUINTA AVENIDA|TROULA40 SA DE CV|721111|Hoteles con otros servicios integrados|6 a 10 personas|CALLE|CALLE 7|CALLE|VICENTE RAMÍREZ|CALLE|RETORNO ANA MARÍA|VIADUCTO|CALLE 7|140||||0||COLONIA|AGRÍCOLA PANTITLÁN||||9999|09|CIUDAD DE MÉXICO|006|Iztacalco|0001|Iztacalco|0109|002||COMPRASTROULA40@GMAIL.COM|WWW.QUINTAAVENIDAHOTEL.COM|Fijo|19.4060317800000000|-99.057739090000000|2010-07
HOTEL QUINTA EL YAQUI|QUINTA EL YAQUI SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CARRETERA|FEDERAL MÉXICO-TOLUCA (PROLONGACIÓN PASEO DE LA REFORMA)|CALLE|5|CERRADA|9|CALLE|5|5440|||1|0||COLONIA|EL MOLINITO|EDIFICIO COMERCIAL Y DE SERVIC|CARRETERA FEDERAL MEXICO TOLUCA|5440|05310|09|CIUDAD DE MÉXICO|004|Cuajimalpa de Morelos|0001|Cuajimalpa de Morelos|0104|014||||Fijo|19.3617008400000000|-99.287888570000000|2010-07
HOTEL REGENTE CITY|AUFRA SA DE CV|721111|Hoteles con otros servicios integrados|51 a 100 personas|CALLE|PARÍS|AVENIDA|INSURGENTES CENTRO|CALLE|MADRID|AVENIDA|INSURGENTES CENTRO|9||||0||COLONIA|TABACALERA||||06030|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|070A|014||CONTABILIDAD@HOTEL-REGENTE.COM.MX|WWW.HOTEL-REGENTE.COM.MX|Fijo|19.4334949800000000|-99.157588620000000|2010-07
HOTEL REVOLUCION|HOTELERA REVOLUCION  SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|AVENIDA|PRIMERO DE MAYO|CALLE|HÉROES DE PADIERNA|CALLE|HÉROES DE 1810|CALLE|TRÁNSITO|2||||0||COLONIA|TACUBAYA||||11870|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|1194|008||HOTELREVOLUCIONFAC@GMAIL.COM||Fijo|19.3987709100000000|-99.185244020000000|2010-07
HOTEL ROOSEVELT|HOTEL HIPODROMO  SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|EJE VIAL|AVENIDA INSURGENTES SUR|CALLE|POPOCATÉPETL|CALLE|CACAHUAMILPA|CALLE|POPOCATÉPETL|287||||0||COLONIA|HIPÓDROMO CONDESA||||06100|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|120A|009||RESERVAS@HOTELROOSEVELT.COM.MX|WWW.HOTELROOSEVELT.COM.MX|Fijo|19.4155745000000000|-99.165775710000000|2010-07
HOTEL ROSSEL PLAZA|HOSPEDAJES ROSIQUE SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CALLE|3 ORIENTE (AZÚCAR)|CALLE|16 DE SEPTIEMBRE|CALLE|MIGUEL HIDALGO|CALLE|BREA|45||||0||COLONIA|GRANJAS MÉXICO||||08400|09|CIUDAD DE MÉXICO|006|Iztacalco|0001|Iztacalco|0293|010||HOSPEDAJESROSIQUE@GMAIL.COM||Fijo|19.3994790000000000|-99.113383100000000|2010-07
HOTEL ROYAL PEDREGAL|ALGASE SA DE CV|721111|Hoteles con otros servicios integrados|251 y más personas|PERIFERICO|BOULEVARD ADOLFO RUÍZ CORTINES|CALLE|RINCONADA CAMINO A SANTA TERESA|CALLE|PICO DE TOLIMA|CALLE|PICO DE VERAPAZ|4363||||0||COLONIA|JARDINES EN LA MONTA A||||14210|09|CIUDAD DE MÉXICO|012|Tlalpan|0001|Tlalpan|1956|014|||WWW.HOTELROYAL.COM.MX|Fijo|19.3024164300000000|-99.198213510000000|2010-07
HOTEL SAN DIEGO|HOTEL SAN DIEGO SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CALLE|LUIS MOYA|CALLE|ERNESTO PUGIBET|CALLE|DELICIAS|CALLE|BUEN TONO|98||||0||COLONIA|CENTRO||||06070|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0875|001||GERENCIA@HOTELSANDIEGO.COM.MX|WWW.HOTELSANDIEGO.COM.MX|Fijo|19.4289495100000000|-99.145745070000000|2010-07
HOTEL ROYAL REFORMA|MABASA SA DE CV|721111|Hoteles con otros servicios integrados|51 a 100 personas|CALLE|NINGUNO|OTRO (ESPECIFIQUE)|99|CALLE|5|CALLE|5|78||||0||COLONIA|JUAREZ||||06600|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|095A|004|||WWW.HOTELROYALREFORMA.COM|Fijo|19.4238130000000000|-99.164339990000000|2010-07
HOTEL SUIDO|INMOBILIARIA HERMIDA SA|721111|Hoteles con otros servicios integrados|11 a 30 personas|AVENIDA|INSURGENTES NORTE|CALLE|MARTINELLI|CALLE|VIOLANTE|CIRCUNVALACION|CANALES|751||||0||COLONIA|SAN SIMÓN TOLNAHUAC||||06920|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0076|027||HOTELSUIDO@HOTMAIL.COM||Fijo|19.4623609800000000|-99.143211480000000|2010-07
HOTEL SUITES SAN MARINO|HOTEL SUITES SAN MARINO SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|EJE VIAL|2 PONIENTE (RÍO TÍBER)|CALLE|RÍO PÁNUCO|CALLE|RÍO LERMA|CALLE|RÍO EBRO|107||||0||COLONIA|CUAUHTÉMOC||||06500|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0822|016||ASISTENTE.ADMIN@EUROSTARSZONAROSASUITES.COM|WWW.EXESUITESSANMARINO.COM|Fijo|19.4287867400000000|-99.168704670000000|2010-07
HOTEL SYLMAR||721111|Hoteles con otros servicios integrados|6 a 10 personas|CALLE|TABASCO|AVENIDA|INSURGENTES SUR|CALLE|MEDELLÍN|CALLE|COLIMA|259||||0||COLONIA|ROMA NORTE||||06700|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|1093|010||INFO@SUITES259.COM|WWW.SUITES259.COM|Fijo|19.4180669900000000|-99.165018090000000|2010-07
HOTEL SUITES DEL PARQUE|ADMINISTRADORA HOTELERA DEL CENTRO SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|CALLE|DAKOTA|CALLE|5|CALLE|5|OTRO (ESPECIFIQUE)|99|155||||0||COLONIA|NÁPOLES|EDIFICIO COMERCIAL Y DE SERVIC|||03810|09|CIUDAD DE MÉXICO|014|Benito Juárez|0001|Benito Juárez|0204|003||||Fijo|19.3938907000000000|-99.175491260000000|2010-07
HOTEL TALISMAN|GALAICOS SA DE CV|721111|Hoteles con otros servicios integrados|11 a 30 personas|AVENIDA|TALISMÁN EJE 4 NORTE|CALLE|NORTE 80|EJE VIAL|3 ORIENTE (AVENIDA INGENIERO EDUARDO MOLINA)|CALLE|ORIENTE 121|1401|4101|||0||COLONIA|GERTRUDIS SÁNCHEZ SEGUNDA SECCIÓN||||07480|09|CIUDAD DE MÉXICO|005|Gustavo A. Madero|0001|Gustavo A. Madero|1877|021||HOTELTALISMAN4101@GMAIL.COM||Fijo|19.4700505100000000|-99.101219490000000|2010-07
ACCOR MEXICO HOTELS|ACCOR MEXICO HOTEL SA DE CV|721111|Hoteles con otros servicios integrados|6 a 10 personas|AVENIDA|PASEO DE LA REFORMA|AVENIDA|CHAPULTEPEC|CIRCUITO|INTERIOR|CALLE|SIN NOMBRE|373||EDIFICIO SIN NOMBRE|17|0||COLONIA|CUAUTEMOC||||06500|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0930|004||ALVARO.VALLE@ACCORINVEST.COM||Fijo|19.4264996900000000|-99.169592450000000|2019-04
ACCOR HOTELS|SOCIEDAD INMOBILIARIA HOTELERA DE MEXICO SA DE CV|721111|Hoteles con otros servicios integrados|31 a 50 personas|CALLE|LEIBNITZ|CALLE|TOLSTOI|CALLE|VÍCTOR HUGO|CALLE|DANTE|20||6|22|6||COLONIA|ANZURES||||11590|09|CIUDAD DE MÉXICO|016|Miguel Hidalgo|0001|Miguel Hidalgo|068A|024||||Fijo|19.4258997400000000|-99.177121770000000|2010-07
CITY EXPRESS HOTELE BUENAVISTA|OPERADORA DE HOTELES NUALVA SA DE CV|721111|Hoteles con otros servicios integrados|31 a 50 personas|AVENIDA|INSURGENTES NORTE|CALLE|SALVADOR DÍAZ MIRÓN|EJE VIAL|1 NORTE (JOSÉ ANTONIO ALZATE)|CALLE|DOCTOR MARIANO AZUELA|226||||||COLONIA|SANTA MARÍA LA RIBERA||||06400|09|CIUDAD DE MÉXICO|015|Cuauhtémoc|0001|Cuauhtémoc|0485|014||CEBNV.CONTADOR@CITYEXPRESS.COM||Fijo|19.4471219400000000|-99.153245740000000|2012-06
CAMINO REAL SANTA FE|ADMINISTRADORA DE HOTELES GRT SA DE CV|721111|Hoteles con otros servicios integrados|6 a 10 personas|AVENIDA|GUILLERMO GONZÁLEZ CAMARENA|CALLE|SANTA FE|CALLE|ERNESTO DOMÍNGUEZ A.|CALLE|SANTA FE|300||||||COLONIA|CENTRO CIUDAD SANTA FE||||01210|09|CIUDAD DE MÉXICO|010|Álvaro Obregón|0001|Álvaro Obregón|1542|041||||Fijo|19.3678020900000000|-99.261492390000000|2019-04
